,Text,Date,Year,hashtag,Cleaned
62,Do Read: 10 highlights from Prime Minister @narendramodi 's '#MannKiBaat ' http://t.co/HmeYLOqAH3 http://t.co/qmw9Z4DtSq,2014-10-03,2014,['MannKiBaat'],read highlights from prime minister
63,"Doordarshan is not RSS' mouthpiece: Congress 
Hell fcuk what about Dharna party eating my brain every 15 min on FM?
#MannKiBaat",2014-10-03,2014,['MannKiBaat'],doordarshan mouthpiece congress hell fcuk what about dharna party eating brain every
64,"#NaMoji's #mannkibaat, i liked khadi kharido garib ke ghar me diya jalao part. Kaash,bus,garibi mit jae.Taken back 2 pre-tv days",2014-10-03,2014,"['NaMoji', 'mannkibaat']",liked khadi kharido garib ghar diya jalao part kaashbusgaribi jaetaken back pretv days
65,What did I just hear from congress spokeperson... people should not buy khadi...it is costly... huh? What is this argument #MannKiBaat,2014-10-03,2014,['MannKiBaat'],what just hear from congress spokeperson people should khadiit costly what this argument
66,@aliaa08 Alia! Please share your thoughts about #MannKiBaat,2014-10-03,2014,['MannKiBaat'],alia please share your thoughts about
67,Himesh saw this coming. #MannKiBaat on #RadioOutreach = #MannKaRadio.,2014-10-03,2014,"['MannKiBaat', 'RadioOutreach', 'MannKaRadio']",himesh this coming
68,"#MannKiBaat Sir,I really respect your actions for better india. But, can anyone tell us what America has given us as a  result of your visit",2014-10-03,2014,['MannKiBaat'],siri really respect your actions better india anyone tell what america given result your visit
69,"Old things do recycle and come back,like old memories and the Radio #PM #MannKiBaat #PARIFoundation #NarendraModi #India4India",2014-10-03,2014,"['PM', 'MannKiBaat', 'PARIFoundation', 'NarendraModi', 'India4India']",things recycle come backlike memories radio
70,"AamAdmi Ke #MannKiBaat --- Modi Ji, Itnee Shandaar Designer ""Khadi"" Kahan Se Late Ho.......Humko Ko Bhi To Pata Chale ??",2014-10-03,2014,['MannKiBaat'],aamadmi modi itnee shandaar designer khadi kahan late hohumko pata chale
71,We need to recognise our internal strength: #Modi http://t.co/z037NwTkyB #MannKiBaat http://t.co/EhXbPjjWWT,2014-10-03,2014,"['Modi', 'MannKiBaat']",need recognise internal strength
72,We need to recognise our internal strength: #Modi http://t.co/DV9er1xXw2 #MannKiBaat http://t.co/Lv975FS49p,2014-10-03,2014,"['Modi', 'MannKiBaat']",need recognise internal strength
74,Modi to become radioactive on Sunday. #MannKiBaat,2014-10-03,2014,['MannKiBaat'],modi become radioactive sunday
75,@Atheist_Club @narendramodi why find controversy where there is none..we can be +ve for once #mannkibaat,2014-10-03,2014,['mannkibaat'],find controversy where there nonewe once
76,"How amusing when all the 'high-tech' news channel tuning to a radio.

#MannKiBaat",2014-10-03,2014,['MannKiBaat'],amusing when hightech news channel tuning radio
77,@narendramodi #MannKiBaat a revolutionary step to connect with the populace across cross section of society. Please make it :),2014-10-03,2014,['MannKiBaat'],revolutionary step connect with populace across cross section society please make
78,Can #modi become India's Roosevelt? #MannKiBaat,2014-10-03,2014,"['modi', 'MannKiBaat']",become indias roosevelt
79,"debut speech of Mr. PM @narendramodi sir on air.....goose bumping.
#NaMo 
#JayHind 
#MannKiBaat",2014-10-03,2014,"['NaMo', 'JayHind', 'MannKiBaat']",debut speech airgoose bumping
80,With #MannKiBaat Modi is changing the rules of the outreach game. Radio kills the TV stars!!!,2014-10-03,2014,['MannKiBaat'],with modi changing rules outreach game radio kills stars
81,"#swachhindia,
#MyCleanIndia and #Mannkibaat on radio,this is the way we connect common people,tight slap on #Aaptards who beleive in dharna",2014-10-03,2014,"['swachhindia', 'MyCleanIndia', 'Mannkibaat', 'Aaptards']",radiothis connect common peopletight slap beleive dharna
82,We took out an old (but still working) 2-in-1 n listened to #PM on #MannKiBaat. #AIR,2014-10-03,2014,"['PM', 'MannKiBaat', 'AIR']",took still working listened
83,"#MannKiBaat @PMOIndia @narendramodi  - Great initiative by you Sir, we all will try to contribute for our growth with togetherness",2014-10-03,2014,['MannKiBaat'],great initiative will contribute growth with togetherness
